,PM10_XGB
2023-07-19,6.306289
2023-07-20,5.5133433
2023-07-21,6.8709273
2023-07-22,7.832666
2023-07-23,6.140438
2023-07-24,5.286231
2023-07-25,5.9318585
2023-07-26,4.8338575
2023-07-27,5.527843
2023-07-28,5.517377
2023-07-29,5.035922
2023-07-30,6.81988
2023-07-31,8.407667
2023-08-01,5.7834005
2023-08-02,7.6419077
2023-08-03,7.386758
2023-08-04,8.229307
2023-08-05,7.045054
2023-08-06,6.571465
2023-08-07,5.8408623
2023-08-08,7.284138
2023-08-09,6.568932
2023-08-10,7.601564
2023-08-11,6.234901
2023-08-12,5.7335544
2023-08-13,7.443587
2023-08-14,7.3552628
2023-08-15,5.41627
2023-08-16,6.066106
2023-08-17,6.3743253
2023-08-18,5.9238505
2023-08-19,8.077536
2023-08-20,9.093597
2023-08-21,11.311169
2023-08-22,17.539394
2023-08-23,9.823394
2023-08-24,11.383231
2023-08-25,11.755745
2023-08-26,12.01637
2023-08-27,25.635933
2023-08-28,24.30583
2023-08-29,33.751297
2023-08-30,22.583021
2023-08-31,18.433474
2023-09-01,11.3144455
2023-09-02,10.840409
2023-09-03,10.787027
2023-09-04,7.7022977
2023-09-05,9.370366
2023-09-06,8.552256
2023-09-07,10.818717
2023-09-08,7.981472
2023-09-09,7.3794208
2023-09-10,8.50652
2023-09-11,7.908051
2023-09-12,9.042588
2023-09-13,9.854128
2023-09-14,7.9751143
2023-09-15,16.928656
2023-09-16,19.422546
2023-09-17,11.476158
2023-09-18,12.967419
2023-09-19,8.069179
2023-09-20,8.381908
2023-09-21,14.311141
2023-09-22,11.455052
2023-09-23,9.979666
2023-09-24,8.272155
2023-09-25,11.618326
2023-09-26,16.404434
2023-09-27,13.918501
2023-09-28,20.391605
2023-09-29,23.513863
2023-09-30,16.925219
2023-10-01,11.847573
2023-10-02,13.75766
2023-10-03,14.096149
2023-10-04,11.684129
2023-10-05,13.684947
2023-10-06,20.977627
2023-10-07,20.779148
2023-10-08,12.581368
2023-10-09,13.226014
2023-10-10,12.013685
2023-10-11,9.470492
2023-10-12,10.996339
2023-10-13,10.891463
2023-10-14,12.131627
2023-10-15,10.067866
2023-10-16,10.353352
2023-10-17,8.488167
2023-10-18,7.776976
2023-10-19,8.112717
2023-10-20,10.437841
2023-10-21,11.89682
2023-10-22,11.057236
2023-10-23,8.469414
2023-10-24,8.589614
2023-10-25,8.504072
2023-10-26,10.517104
2023-10-27,8.489085
2023-10-28,11.748176
2023-10-29,13.53527
2023-10-30,8.655126
2023-10-31,10.2732315
2023-11-01,10.788023
2023-11-02,8.772401
2023-11-03,8.950789
2023-11-04,8.803523
2023-11-05,8.560182
2023-11-06,9.6728735
2023-11-07,8.914095
2023-11-08,9.28953
2023-11-09,9.128861
2023-11-10,7.9722786
2023-11-11,7.5217047
2023-11-12,7.047523
2023-11-13,8.410654
2023-11-14,9.586463
2023-11-15,8.434072
2023-11-16,9.883606
2023-11-17,9.391053
2023-11-18,9.845641
2023-11-19,8.623754
2023-11-20,10.320933
2023-11-21,11.109377
2023-11-22,10.276608
2023-11-23,8.495965
2023-11-24,8.267534
2023-11-25,7.959167
2023-11-26,8.278744
2023-11-27,10.499123
2023-11-28,11.396291
2023-11-29,8.715056
2023-11-30,7.375209
2023-12-01,7.3814907
2023-12-02,7.9809737
2023-12-03,10.064921
2023-12-04,10.056196
2023-12-05,9.02093
2023-12-06,9.942968
2023-12-07,8.829085
2023-12-08,7.454624
2023-12-09,6.2036405
2023-12-10,6.91344
2023-12-11,8.438031
2023-12-12,10.652652
2023-12-13,9.056452
2023-12-14,8.699071
2023-12-15,10.531184
2023-12-16,8.893333
2023-12-17,9.128989
2023-12-18,8.969835
2023-12-19,6.5313244
2023-12-20,7.895141
2023-12-21,9.947624
2023-12-22,10.572067
2023-12-23,7.2683983
2023-12-24,7.6222363
2023-12-25,10.57811
2023-12-26,9.050566
2023-12-27,10.006471
2023-12-28,7.0533824
2023-12-29,8.954513
2023-12-30,8.993348
2023-12-31,8.922643
