,PM10_LSTM
2023-07-19,8.004951019684475
2023-07-20,7.188265935023627
2023-07-21,8.670446513374648
2023-07-22,9.684975292086602
2023-07-23,7.847356840709846
2023-07-24,7.414430157313745
2023-07-25,8.249938062469166
2023-07-26,6.738742498854797
2023-07-27,7.138544080495835
2023-07-28,6.7153592746655155
2023-07-29,6.900628449420135
2023-07-30,8.37362661166986
2023-07-31,7.621936000009379
2023-08-01,7.410920725762845
2023-08-02,8.382023516694705
2023-08-03,8.900145988514026
2023-08-04,8.088874769409498
2023-08-05,8.014440573334696
2023-08-06,7.765465272466343
2023-08-07,7.390957691093287
2023-08-08,7.706708681543669
2023-08-09,8.043981044669946
2023-08-10,8.18984601211548
2023-08-11,7.287063658614954
2023-08-12,7.2773050198555005
2023-08-13,8.72475368688504
2023-08-14,8.371097936451436
2023-08-15,6.607438478658597
2023-08-16,7.839240798930328
2023-08-17,7.5847089358568205
2023-08-18,7.3449341712991405
2023-08-19,8.194891584416231
2023-08-20,9.486428533911706
2023-08-21,11.795154308855535
2023-08-22,16.518176010588807
2023-08-23,13.996288622597856
2023-08-24,12.215651887635392
2023-08-25,12.746507883588475
2023-08-26,14.920135719498
2023-08-27,24.818484917283058
2023-08-28,25.744791832605998
2023-08-29,33.88221183514595
2023-08-30,28.226033778945606
2023-08-31,22.254656492670378
2023-09-01,13.612353096286457
2023-09-02,11.403154383361342
2023-09-03,12.962644835015139
2023-09-04,10.430288496057194
2023-09-05,11.447472791453205
2023-09-06,10.18142101043463
2023-09-07,11.810472227851552
2023-09-08,8.299917223970096
2023-09-09,7.527828692615033
2023-09-10,7.723945077707371
2023-09-11,8.138221535603206
2023-09-12,8.664019275108974
2023-09-13,9.46026838763555
2023-09-14,8.407594303160908
2023-09-15,14.942557666579884
2023-09-16,22.503726018627486
2023-09-17,14.286992953638238
2023-09-18,11.659526353696984
2023-09-19,9.181476282238961
2023-09-20,9.499416193981967
2023-09-21,14.72427437635263
2023-09-22,11.338085617502532
2023-09-23,11.101504539847376
2023-09-24,9.715021317263446
2023-09-25,11.607021235009036
2023-09-26,12.805428462406
2023-09-27,14.95048616419236
2023-09-28,19.2119707309405
2023-09-29,22.61762240668138
2023-09-30,22.50060209453106
2023-10-01,16.081972740332287
2023-10-02,15.791824699719747
2023-10-03,18.210354413429897
2023-10-04,12.212828759014608
2023-10-05,17.279946894725164
2023-10-06,20.71829286424319
2023-10-07,21.30166938106219
2023-10-08,14.993947486380739
2023-10-09,14.664272021035355
2023-10-10,14.94264464358489
2023-10-11,11.31974252955119
2023-10-12,11.894397789597512
2023-10-13,11.259680377542974
2023-10-14,13.21378187686205
2023-10-15,11.404340351065
2023-10-16,12.514819262464842
2023-10-17,9.470410268823308
2023-10-18,8.488215191721917
2023-10-19,8.436847116172315
2023-10-20,9.483686040222645
2023-10-21,12.023223418156308
2023-10-22,12.417948623140655
2023-10-23,9.580789524237316
2023-10-24,8.735813356677692
2023-10-25,9.077221657594047
2023-10-26,11.78399044785897
2023-10-27,9.469535062710445
2023-10-28,15.129074417750042
2023-10-29,14.667684962471329
2023-10-30,12.10933971321583
2023-10-31,11.717521895825865
2023-11-01,15.121299941917263
2023-11-02,11.13993659792344
2023-11-03,9.994029053151609
2023-11-04,9.701063319981099
2023-11-05,11.504948283572993
2023-11-06,10.880398120999338
2023-11-07,10.192550443033378
2023-11-08,10.476304767767589
2023-11-09,10.117743876655897
2023-11-10,9.69514707161983
2023-11-11,8.92077358186245
2023-11-12,8.129252937972547
2023-11-13,9.41124778521061
2023-11-14,10.56926778393984
2023-11-15,9.63944011193514
2023-11-16,11.223761592507364
2023-11-17,11.179969576497873
2023-11-18,11.17262817366918
2023-11-19,10.799406221151353
2023-11-20,12.517636049012344
2023-11-21,12.396446276684603
2023-11-22,13.21519525319338
2023-11-23,10.321309026817483
2023-11-24,10.078759152193866
2023-11-25,9.344798259397349
2023-11-26,10.059268148978553
2023-11-27,14.263154912193619
2023-11-28,13.580052917063238
2023-11-29,10.717530961096289
2023-11-30,7.8330368922452145
2023-12-01,8.734611533790828
2023-12-02,9.899450620313488
2023-12-03,10.545171529511611
2023-12-04,11.27531630621354
2023-12-05,9.581523392717045
2023-12-06,10.31976880902052
2023-12-07,9.395546623786291
2023-12-08,8.031314112305642
2023-12-09,7.614229474961759
2023-12-10,8.331742653707664
2023-12-11,8.62660421378414
2023-12-12,11.087768515129886
2023-12-13,9.98562761807442
2023-12-14,9.643283408343793
2023-12-15,11.646393731951715
2023-12-16,10.602888926426571
2023-12-17,12.133585459371409
2023-12-18,10.116715554773808
2023-12-19,8.064478625516097
2023-12-20,9.410274729967119
2023-12-21,11.44513437843323
2023-12-22,10.746895666400594
2023-12-23,7.461080183347067
2023-12-24,8.762124806702138
2023-12-25,10.928052459637325
2023-12-26,9.567962228020033
2023-12-27,10.2729778983593
2023-12-28,7.681701886594296
2023-12-29,8.505438450733822
2023-12-30,9.622865556418898
2023-12-31,9.046336666723093
