,PM25_LSTM
2023-07-19,3.4703121595988047
2023-07-20,3.000744007636327
2023-07-21,3.490517556635197
2023-07-22,2.474856074360199
2023-07-23,1.9393058523698707
2023-07-24,2.047117294494761
2023-07-25,2.3078590170254465
2023-07-26,2.0741726002965586
2023-07-27,2.678790492166299
2023-07-28,2.3808381892614996
2023-07-29,2.114261695247842
2023-07-30,3.2738476383131925
2023-07-31,3.838712278189603
2023-08-01,2.7816822202547917
2023-08-02,3.6133506309650834
2023-08-03,4.2017670020386575
2023-08-04,3.1970054429392327
2023-08-05,3.6623329801023936
2023-08-06,3.6822699368773026
2023-08-07,3.1367999108056535
2023-08-08,3.4393853443572295
2023-08-09,4.019577611024491
2023-08-10,4.395447431048378
2023-08-11,3.0919777029154356
2023-08-12,3.024698009050917
2023-08-13,3.6073247713744636
2023-08-14,3.7109325677622107
2023-08-15,2.792723874425981
2023-08-16,2.985065516157774
2023-08-17,3.030567018372472
2023-08-18,2.75256962028332
2023-08-19,3.657033430899493
2023-08-20,5.4290001836288715
2023-08-21,7.105466972286812
2023-08-22,9.195576013052834
2023-08-23,6.685756331535055
2023-08-24,6.15372490096651
2023-08-25,7.631670752062461
2023-08-26,8.317533669278024
2023-08-27,14.804871722672132
2023-08-28,15.955821829374878
2023-08-29,21.384518890634176
2023-08-30,15.368384016696362
2023-08-31,13.026096029531208
2023-09-01,7.844158386717549
2023-09-02,5.374737013678997
2023-09-03,5.986792515104636
2023-09-04,4.536197137045674
2023-09-05,5.8561721370555455
2023-09-06,5.19899252998922
2023-09-07,5.385170287795365
2023-09-08,2.5563808550366662
2023-09-09,2.434726206142455
2023-09-10,3.311453660845756
2023-09-11,2.939157841977663
2023-09-12,3.609801405909005
2023-09-13,4.669395009814761
2023-09-14,4.1058567691664205
2023-09-15,7.82928960548993
2023-09-16,12.576758245792238
2023-09-17,8.170706210441885
2023-09-18,6.585955470657907
2023-09-19,4.313393670888617
2023-09-20,5.331063187764957
2023-09-21,9.579610240738837
2023-09-22,6.723639183087274
2023-09-23,5.625166806455701
2023-09-24,4.891763040896505
2023-09-25,8.100025655488482
2023-09-26,9.47102771566808
2023-09-27,10.379790082041174
2023-09-28,14.247572572141884
2023-09-29,16.044274456232785
2023-09-30,15.219792967770248
2023-10-01,8.21803597421944
2023-10-02,7.072686826751566
2023-10-03,9.82019358229637
2023-10-04,6.065558662410825
2023-10-05,10.343073072787373
2023-10-06,13.304075284492223
2023-10-07,15.198715725146233
2023-10-08,8.744221025604753
2023-10-09,7.220226744770072
2023-10-10,8.324452248807996
2023-10-11,5.746255214173346
2023-10-12,5.515568266209215
2023-10-13,5.110183283365331
2023-10-14,7.566027743934653
2023-10-15,5.978536416364833
2023-10-16,4.965914200684056
2023-10-17,4.194023202809505
2023-10-18,3.83476331905229
2023-10-19,3.898861625152174
2023-10-20,4.809727618952281
2023-10-21,7.343492327864281
2023-10-22,6.734054509162902
2023-10-23,5.209810906631872
2023-10-24,4.29637834300613
2023-10-25,4.963934453755617
2023-10-26,6.837374356549232
2023-10-27,5.773688404267653
2023-10-28,10.07654466781765
2023-10-29,10.119655861672012
2023-10-30,5.691066159426234
2023-10-31,4.904076957542449
2023-11-01,8.572954578079282
2023-11-02,6.434894225081428
2023-11-03,5.941475272938609
2023-11-04,5.887723622149787
2023-11-05,7.430809546058065
2023-11-06,6.911351888551375
2023-11-07,5.655907508318312
2023-11-08,4.506045013866853
2023-11-09,3.5095637443447485
2023-11-10,3.4280417924355713
2023-11-11,3.041104859334882
2023-11-12,3.371071979907341
2023-11-13,3.926857642393559
2023-11-14,5.158228237548843
2023-11-15,5.610112692198716
2023-11-16,6.824909832431002
2023-11-17,6.2914605066441
2023-11-18,6.424146470077336
2023-11-19,5.311555228181183
2023-11-20,6.770923296413383
2023-11-21,7.045690632431767
2023-11-22,5.641291170185432
2023-11-23,4.209030496090651
2023-11-24,5.049836507954635
2023-11-25,4.904191668933257
2023-11-26,4.971076993620023
2023-11-27,5.5156037721158935
2023-11-28,5.0899851045627145
2023-11-29,4.015060947555117
2023-11-30,3.8104368957923724
2023-12-01,3.7341374335633586
2023-12-02,4.250899763560853
2023-12-03,4.746970733810216
2023-12-04,5.5940995282866055
2023-12-05,5.003513004982843
2023-12-06,4.945972366724163
2023-12-07,4.285841282393317
2023-12-08,3.3750447397073726
2023-12-09,3.0704552708461414
2023-12-10,4.223260366085451
2023-12-11,4.223396732177585
2023-12-12,4.847131726026535
2023-12-13,4.733771900720894
2023-12-14,4.232804626923054
2023-12-15,4.9217194914137945
2023-12-16,4.566134468997828
2023-12-17,4.703371431282721
2023-12-18,3.9338343579685313
2023-12-19,2.999935858084587
2023-12-20,4.405643283799756
2023-12-21,5.804683500098996
2023-12-22,5.533100380612537
2023-12-23,3.488672615099698
2023-12-24,4.063823628280777
2023-12-25,4.937063895720988
2023-12-26,4.530900123978965
2023-12-27,4.418081666206475
2023-12-28,3.5077923507587982
2023-12-29,4.10672354248166
2023-12-30,4.698925194364507
2023-12-31,4.567187745866831
