Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1837178,-,-,-,-20.99,-51.58,-3,288,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Relative Humidity,Wind Direction,Wind Speed
2019,1,1,0,30,26,89.94,105,0.9
2019,1,1,1,30,25.6,91.98,140,1
2019,1,1,2,30,25.200000000000003,94.72,124,1.1
2019,1,1,3,30,24.900000000000002,97.59,85,1.3
2019,1,1,4,30,24.700000000000003,99.19,60,1.7000000000000002
2019,1,1,5,30,24.6,98.32000000000001,45,2.2
2019,1,1,6,30,25,94.68,28,2.8000000000000003
2019,1,1,7,30,26.200000000000003,87.85000000000001,10,3.4000000000000004
2019,1,1,8,30,28,76.93,180,4
2019,1,1,9,30,29.700000000000003,67.51,356,4.3
2019,1,1,10,30,31,62.24,351,4.3
2019,1,1,11,30,31.900000000000002,59.43,344,4.2
2019,1,1,12,30,32.4,58.050000000000004,337,3.9000000000000004
2019,1,1,13,30,32.6,57.32,333,3.5
2019,1,1,14,30,32.6,57.06,333,3.1
2019,1,1,15,30,32.300000000000004,57.730000000000004,337,2.7
2019,1,1,16,30,31.5,60.47,344,2.2
2019,1,1,17,30,30.3,67.09,353,1.6
2019,1,1,18,30,28.700000000000003,79.94,183,1.2000000000000002
2019,1,1,19,30,27.6,85.21000000000001,12,1.3
2019,1,1,20,30,27.1,86.29,20,1.7000000000000002
2019,1,1,21,30,26.8,86.76,23,2.1
2019,1,1,22,30,26.5,87.77,22,2.4000000000000004
2019,1,1,23,30,26.1,89.33,18,2.4000000000000004
2019,1,2,0,30,25.700000000000003,90.99,12,2.2
2019,1,2,1,30,25.3,92.57000000000001,7,2
2019,1,2,2,30,24.900000000000002,94.15,4,1.7000000000000002
2019,1,2,3,30,24.5,95.99000000000001,180,1.6
2019,1,2,4,30,24.3,96.37,347,1.6
