Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1837178,-,-,-,-20.99,-51.58,-3,288,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Relative Humidity,Wind Direction,Wind Speed
2021,1,1,0,30,25.8,81.43,163,0.6000000000000001
2021,1,1,1,30,25.3,83.59,174,0.7000000000000001
2021,1,1,2,30,24.900000000000002,85.10000000000001,184,0.9
2021,1,1,3,30,24.5,87.16,190,0.9
2021,1,1,4,30,24.200000000000003,89.16,194,0.8
2021,1,1,5,30,24.3,88.98,200,0.7000000000000001
2021,1,1,6,30,25.400000000000002,83.54,218,0.8
2021,1,1,7,30,27.1,72.93,244,1.1
2021,1,1,8,30,28.700000000000003,63.910000000000004,263,1.4000000000000001
2021,1,1,9,30,30.200000000000003,57.85,272,1.7000000000000002
2021,1,1,10,30,31.3,53.67,275,1.8
2021,1,1,11,30,32.1,50.85,278,1.8
2021,1,1,12,30,32.7,48.84,282,1.7000000000000002
2021,1,1,13,30,33,47.79,284,1.4000000000000001
2021,1,1,14,30,32.9,47.870000000000005,283,1.2000000000000002
2021,1,1,15,30,32.5,48.97,283,0.8
2021,1,1,16,30,31.8,51.09,185,0.5
2021,1,1,17,30,30.900000000000002,54.29,79,0.4
2021,1,1,18,30,29.6,62.51,66,0.5
2021,1,1,19,30,28.5,72.06,53,0.6000000000000001
2021,1,1,20,30,27.6,75.16,42,0.7000000000000001
