Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1837178,-,-,-,-20.99,-51.58,-3,288,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Relative Humidity,Wind Direction,Wind Speed
2020,1,1,0,30,25.400000000000002,87.3,257,1.3
2020,1,1,1,30,24.900000000000002,90.14,254,1.2000000000000002
2020,1,1,2,30,24.6,91.74,256,1.2000000000000002
2020,1,1,3,30,24.1,94.53,254,1.1
2020,1,1,4,30,23.8,96.5,246,0.9
2020,1,1,5,30,24.1,94.88,238,1
2020,1,1,6,30,25.700000000000003,87.83,234,1.4000000000000001
2020,1,1,7,30,27.900000000000002,77.06,230,1.6
2020,1,1,8,30,30,66.93,229,1.6
2020,1,1,9,30,31.6,60.42,241,1.6
2020,1,1,10,30,32.6,56.92,261,1.6
2020,1,1,11,30,33.2,54.76,278,1.7000000000000002
2020,1,1,12,30,33.4,53.99,285,1.9000000000000001
2020,1,1,13,30,33.4,53.660000000000004,285,1.9000000000000001
2020,1,1,14,30,33,54.65,283,1.9000000000000001
2020,1,1,15,30,32.4,56.51,280,1.7000000000000002
2020,1,1,16,30,31.5,61.65,279,1.5
2020,1,1,17,30,30.1,69.09,281,1.2000000000000002
2020,1,1,18,30,28.6,81.85000000000001,290,0.9
2020,1,1,19,30,27.700000000000003,87.23,298,0.8
2020,1,1,20,30,27.1,89.48,302,0.8
2020,1,1,21,30,26.5,91.43,303,0.8
2020,1,1,22,30,25.900000000000002,92.88,300,1
2020,1,1,23,30,25.400000000000002,93.41,296,1.2000000000000002
2020,1,2,0,30,25,93.82000000000001,292,1.3
2020,1,2,1,30,24.6,94.67,287,1.4000000000000001
2020,1,2,2,30,24.200000000000003,95.85000000000001,284,1.4000000000000001
2020,1,2,3,30,23.8,97.19,278,1.3
2020,1,2,4,30,23.5,98.08,273,1.1
2020,1,2,5,30,23.8,95.71000000000001,270,1.4000000000000001
2020,1,2,6,30,25,91.05,271,1.7000000000000002
2020,1,2,7,30,27,82.96000000000001,270,2.1
2020,1,2,8,30,29.1,72.10000000000001,272,2.3000000000000003
2020,1,2,9,30,30.6,65.55,279,2.3000000000000003
2020,1,2,10,30,31.6,61.690000000000005,287,2.3000000000000003
2020,1,2,11,30,32.300000000000004,58.95,292,2.3000000000000003
2020,1,2,12,30,32.800000000000004,56.88,292,2.3000000000000003
2020,1,2,13,30,33.2,55.09,291,2.2
2020,1,2,14,30,33.1,54.97,290,2.1
2020,1,2,15,30,32.6,55.96,290,1.9000000000000001
2020,1,2,16,30,31.900000000000002,58.61,289,1.5
2020,1,2,17,30,30.6,66.56,289,1.2000000000000002
2020,1,2,18,30,28.900000000000002,76.65,297,1
2020,1,2,19,30,27.5,87.68,308,0.9
2020,1,2,20,30,26.8,89.12,312,1.2000000000000002
2020,1,2,21,30,26.200000000000003,90.32000000000001,313,1.4000000000000001
2020,1,2,22,30,25.700000000000003,92.03,310,1.5
2020,1,2,23,30,25.200000000000003,93.96000000000001,301,1.6
2020,1,3,0,30,24.700000000000003,95.98,289,1.7000000000000002
2020,1,3,1,30,24.3,97.49000000000001,278,1.7000000000000002
2020,1,3,2,30,23.8,99.38,263,1.5
2020,1,3,3,30,23.5,99.72,246,1.4000000000000001
2020,1,3,4,30,23.200000000000003,100,235,1.2000000000000002
2020,1,3,5,30,23.400000000000002,98.21000000000001,232,1.2000000000000002
2020,1,3,6,30,24.6,93.03,228,1.5
2020,1,3,7,30,26.6,84.96000000000001,226,1.6
2020,1,3,8,30,28.700000000000003,73.10000000000001,233,1.5
2020,1,3,9,30,30.200000000000003,65.69,251,1.3
2020,1,3,10,30,31.3,60.83,271,1.1
2020,1,3,11,30,32.1,57.480000000000004,289,1.1
2020,1,3,12,30,32.7,55.38,301,1.2000000000000002
2020,1,3,13,30,33,54.06,308,1.4000000000000001
2020,1,3,14,30,33,53.5,312,1.5
2020,1,3,15,30,32.6,54.19,322,1.5
2020,1,3,16,30,31.700000000000003,56.910000000000004,325,1.5
2020,1,3,17,30,30.6,63.03,314,1.1
2020,1,3,18,30,29.200000000000003,71.8,304,0.7000000000000001
2020,1,3,19,30,28,81.46000000000001,303,0.6000000000000001
2020,1,3,20,30,27.3,84.3,305,0.7000000000000001
2020,1,3,21,30,26.6,87.09,308,0.8
2020,1,3,22,30,26.1,89.17,306,0.8
2020,1,3,23,30,25.700000000000003,90.35000000000001,300,0.9
2020,1,4,0,30,25.1,92.9,214,1.2000000000000002
2020,1,4,1,30,24.5,93.91,116,1.9000000000000001
2020,1,4,2,30,23.700000000000003,95.74000000000001,98,2.6
2020,1,4,3,30,23,96.53,96,2.8000000000000003
2020,1,4,4,30,22.400000000000002,96.71000000000001,97,2.7
2020,1,4,5,30,22.3,94.41,97,2.6
2020,1,4,6,30,23.1,89.15,94,2.8000000000000003
2020,1,4,7,30,24.8,79.11,86,2.8000000000000003
2020,1,4,8,30,26.8,68.99,74,2.5
2020,1,4,9,30,28.400000000000002,64.77,56,1.9000000000000001
2020,1,4,10,30,29.700000000000003,62.36,32,1.5
2020,1,4,11,30,30.700000000000003,60.29,10,1.4000000000000001
2020,1,4,12,30,31.400000000000002,58.38,178,1.3
2020,1,4,13,30,31.700000000000003,57.35,353,1.2000000000000002
2020,1,4,14,30,31.6,57.31,345,1
2020,1,4,15,30,31.1,58.71,300,0.8
2020,1,4,16,30,30.3,61.84,241,0.6000000000000001
2020,1,4,17,30,29.1,69.61,215,0.7000000000000001
2020,1,4,18,30,27.6,76.29,206,0.8
2020,1,4,19,30,26.400000000000002,83.60000000000001,200,0.9
2020,1,4,20,30,25.6,87.96000000000001,198,1.1
2020,1,4,21,30,24.900000000000002,91.72,194,1
2020,1,4,22,30,24.6,93.28,183,0.8
2020,1,4,23,30,24.400000000000002,94.08,169,0.7000000000000001
2020,1,5,0,30,24.1,95.03,167,0.6000000000000001
2020,1,5,1,30,23.8,95.32000000000001,174,0.6000000000000001
2020,1,5,2,30,23.6,95.38,178,0.6000000000000001
2020,1,5,3,30,23.3,96.16,180,0.7000000000000001
2020,1,5,4,30,23.1,96.76,183,0.7000000000000001
2020,1,5,5,30,23.400000000000002,94.71000000000001,203,0.8
2020,1,5,6,30,24.5,92.68,248,1.3
2020,1,5,7,30,25.8,86.8,277,2.1
2020,1,5,8,30,27.200000000000003,77.8,280,2.8000000000000003
2020,1,5,9,30,28.5,71.08,278,3.2
2020,1,5,10,30,29.6,66.22,279,3.3000000000000003
2020,1,5,11,30,30.5,62.46,281,3.2
2020,1,5,12,30,31.1,59.81,285,3
2020,1,5,13,30,31.5,58.07,288,2.8000000000000003
2020,1,5,14,30,31.6,57.32,291,2.5
2020,1,5,15,30,31.3,58,293,2.1
2020,1,5,16,30,31,59.120000000000005,296,1.5
2020,1,5,17,30,30.1,65.18,296,1
2020,1,5,18,30,28.900000000000002,71.60000000000001,301,0.8
2020,1,5,19,30,28.1,75.24,317,0.6000000000000001
2020,1,5,20,30,27.6,74.73,341,0.6000000000000001
2020,1,5,21,30,26.900000000000002,77.75,180,0.7000000000000001
2020,1,5,22,30,26,82.17,3,0.8
2020,1,5,23,30,25.1,86.2,178,0.9
2020,1,6,0,30,24.3,89.23,350,1
2020,1,6,1,30,23.6,91.66,343,1.1
2020,1,6,2,30,23.1,93.36,338,1.2000000000000002
2020,1,6,3,30,22.6,95.5,335,1.2000000000000002
2020,1,6,4,30,22.1,97.56,333,1.2000000000000002
2020,1,6,5,30,22.400000000000002,95.12,334,1.5
2020,1,6,6,30,23.700000000000003,90.08,335,2
2020,1,6,7,30,26,81.43,329,2.4000000000000004
2020,1,6,8,30,28.6,68.85000000000001,317,3.1
2020,1,6,9,30,30.400000000000002,61.13,311,3.2
2020,1,6,10,30,31.700000000000003,56.68,309,3
2020,1,6,11,30,32.6,53.79,311,2.6
2020,1,6,12,30,33.300000000000004,51.25,313,2.2
2020,1,6,13,30,33.7,49.45,317,1.9000000000000001
2020,1,6,14,30,33.7,48.85,321,1.7000000000000002
2020,1,6,15,30,33.300000000000004,49.67,326,1.6
2020,1,6,16,30,32.5,52.19,334,1.5
2020,1,6,17,30,31,60.29,338,1.2000000000000002
2020,1,6,18,30,29,73.45,341,1
2020,1,6,19,30,27.6,79.04,342,0.9
2020,1,6,20,30,27,80.71000000000001,342,1
2020,1,6,21,30,26.400000000000002,83.16,343,1
2020,1,6,22,30,25.900000000000002,85.3,345,1.1
2020,1,6,23,30,25.3,88.31,349,1.3
2020,1,7,0,30,24.900000000000002,90.95,354,1.7000000000000002
2020,1,7,1,30,24.6,93.56,358,2.2
2020,1,7,2,30,24.3,96.03,180,2.4000000000000004
2020,1,7,3,30,24,97.47,2,2.2
2020,1,7,4,30,23.700000000000003,98.44,3,1.8
2020,1,7,5,30,23.8,97.16,3,1.7000000000000002
2020,1,7,6,30,24.5,93.92,180,2
2020,1,7,7,30,25.900000000000002,88.05,352,2.2
2020,1,7,8,30,27.400000000000002,81.21000000000001,344,2.5
2020,1,7,9,30,28.200000000000003,77.31,340,2.7
2020,1,7,10,30,28.5,76.51,332,2.8000000000000003
2020,1,7,11,30,28.6,75.99,322,2.8000000000000003
2020,1,7,12,30,28.6,76.09,315,2.6
2020,1,7,13,30,28.6,76.39,313,2.3000000000000003
