,PM10_LSTM
2023-07-19,15.423221883396309
2023-07-20,15.037414613806954
2023-07-21,10.362684806695828
2023-07-22,11.448714723880093
2023-07-23,9.320860584952868
2023-07-24,12.071875633162136
2023-07-25,10.36155071286112
2023-07-26,9.72401071374615
2023-07-27,9.79497809819753
2023-07-28,8.513222382965807
2023-07-29,11.102681656287363
2023-07-30,11.933798152675232
2023-07-31,11.71038602434906
2023-08-01,10.18202527718246
2023-08-02,9.765724452729026
2023-08-03,10.946571336895229
2023-08-04,10.988875775685536
2023-08-05,11.61265601722089
2023-08-06,11.052061981746307
2023-08-07,11.841828246725104
2023-08-08,12.015810191903265
2023-08-09,10.672837684931855
2023-08-10,15.896017013352365
2023-08-11,9.681239441599075
2023-08-12,11.938334528014064
2023-08-13,12.7859389561185
2023-08-14,15.589832841093342
2023-08-15,17.94045456709216
2023-08-16,11.924406087981538
2023-08-17,11.807261415212105
2023-08-18,10.103486478128781
2023-08-19,10.794327642586083
2023-08-20,21.214248592766623
2023-08-21,24.012395447897415
2023-08-22,27.082585395795604
2023-08-23,21.031371916030842
2023-08-24,30.10549446132034
2023-08-25,34.83051280251145
2023-08-26,27.07214575704932
2023-08-27,44.24346175325413
2023-08-28,21.90322740335266
2023-08-29,21.69901332999021
2023-08-30,20.599156431222955
2023-08-31,31.611755317377547
2023-09-01,36.734343883859616
2023-09-02,20.432458331299326
2023-09-03,14.37565032058706
2023-09-04,11.071874389407537
2023-09-05,14.925766748202344
2023-09-06,32.51229055636128
2023-09-07,12.977120909493417
2023-09-08,15.525175798736512
2023-09-09,8.951557741858686
2023-09-10,14.982274747483432
2023-09-11,12.521546328401815
2023-09-12,11.986926278453321
2023-09-13,11.552354218860469
2023-09-14,26.050084458631773
2023-09-15,24.356940873193242
2023-09-16,10.149701735559852
2023-09-17,12.969708840676894
2023-09-18,12.593063953769704
2023-09-19,14.04859185039128
2023-09-20,13.792272949968776
2023-09-21,13.699735374656816
2023-09-22,13.179946309230601
2023-09-23,12.737678968584786
2023-09-24,13.387293145639202
2023-09-25,12.863669822242732
2023-09-26,13.632020885035397
2023-09-27,27.66551460639139
2023-09-28,28.582863315552473
2023-09-29,24.52566565232972
2023-09-30,34.54718105673293
2023-10-01,33.81321444922189
2023-10-02,31.515141975638766
2023-10-03,23.843790178100267
2023-10-04,16.190384699684877
2023-10-05,29.963895812434455
2023-10-06,36.79267689034342
2023-10-07,26.019763943331935
2023-10-08,22.8866124918287
2023-10-09,29.735319262293476
2023-10-10,12.151673014945661
2023-10-11,13.676789581504961
2023-10-12,17.106844558134675
2023-10-13,25.512907406777142
2023-10-14,25.899418038624027
2023-10-15,22.014592679165304
2023-10-16,15.66608228936543
2023-10-17,10.520780723965418
2023-10-18,18.15625855659197
2023-10-19,12.280232696954783
2023-10-20,16.070017631864797
2023-10-21,13.043939079069844
2023-10-22,11.984241052985192
2023-10-23,10.36833349031272
2023-10-24,10.960329849585891
2023-10-25,22.08123158473273
2023-10-26,26.565331546718873
2023-10-27,28.4260421645691
2023-10-28,25.052739185454943
2023-10-29,15.980476504258812
2023-10-30,28.617262087057032
2023-10-31,19.21520840441684
2023-11-01,21.372287245144445
2023-11-02,23.84892161035786
2023-11-03,14.028247252703334
2023-11-04,20.064267485260963
2023-11-05,13.173251296450074
2023-11-06,11.105058771740024
2023-11-07,11.575519112467767
2023-11-08,10.347052736133337
2023-11-09,11.876291752455137
2023-11-10,11.113664066616447
2023-11-11,11.477332853538917
2023-11-12,9.489232126849393
2023-11-13,10.768987927980723
2023-11-14,13.572264970480155
2023-11-15,11.394459973601004
2023-11-16,17.220674714071055
2023-11-17,22.944868315197528
2023-11-18,20.380449360688527
2023-11-19,22.64054774169872
2023-11-20,33.55735989237825
2023-11-21,23.326055801888305
2023-11-22,14.89853106772403
2023-11-23,15.472519485870997
2023-11-24,12.629632566716523
2023-11-25,15.419024117852251
2023-11-26,15.475044120664398
2023-11-27,12.099372117875765
2023-11-28,11.213458099626006
2023-11-29,13.419692625487844
2023-11-30,10.967398329051834
2023-12-01,12.59782503156426
2023-12-02,10.908505744984375
2023-12-03,10.387766206843779
2023-12-04,10.639575497039905
2023-12-05,15.65312797493736
2023-12-06,20.57355155527095
2023-12-07,11.89675212481556
2023-12-08,10.065775057124595
2023-12-09,9.5043824253877
2023-12-10,11.099405731011803
2023-12-11,15.928395330088835
2023-12-12,9.918847038637846
2023-12-13,10.747204861109456
2023-12-14,10.174564657696832
2023-12-15,10.307148443241292
2023-12-16,14.116237248675898
2023-12-17,12.538146300124005
2023-12-18,11.130043692994242
2023-12-19,11.882265352088337
2023-12-20,12.378265212098137
2023-12-21,12.204739518720658
2023-12-22,12.672868804886939
2023-12-23,12.831188802167773
2023-12-24,13.405208342538526
2023-12-25,10.224390093086908
2023-12-26,9.443591696891623
2023-12-27,14.773594012563429
2023-12-28,11.412931635861597
2023-12-29,11.74838999425682
2023-12-30,13.334219172530497
2023-12-31,19.491359630723796
