epoch,train_recon_loss,train_vq_loss,train_total_loss,val_recon_loss,val_vq_loss,val_total_loss,learning_rate
85,0.107430,0.031148,0.138578,0.107664,0.031707,0.139371,0.001000
86,0.107370,0.031140,0.138511,0.107359,0.031683,0.139042,0.001000
87,0.107231,0.031098,0.138330,0.107373,0.031140,0.138512,0.001000
88,0.107273,0.031111,0.138384,0.107527,0.031646,0.139173,0.001000
89,0.107485,0.031121,0.138606,0.107517,0.031093,0.138610,0.001000
90,0.107445,0.031334,0.138780,0.107486,0.031547,0.139033,0.001000
91,0.107482,0.031548,0.139030,0.107606,0.032333,0.139939,0.001000
92,0.107357,0.031581,0.138938,0.107347,0.031407,0.138754,0.001000
93,0.107348,0.031464,0.138812,0.107829,0.031164,0.138994,0.001000
94,0.107338,0.031486,0.138824,0.107347,0.031551,0.138898,0.001000
95,0.107326,0.031408,0.138733,0.107447,0.031707,0.139154,0.001000
96,0.107380,0.031530,0.138911,0.107453,0.031757,0.139209,0.001000
97,0.107256,0.031456,0.138713,0.107358,0.031228,0.138585,0.001000
98,0.107331,0.031421,0.138752,0.107472,0.031538,0.139010,0.001000
99,0.107372,0.031506,0.138878,0.107437,0.031612,0.139049,0.001000
100,0.107340,0.031502,0.138841,0.107459,0.031548,0.139006,0.001000
101,0.107318,0.031503,0.138821,0.107413,0.031526,0.138939,0.001000
102,0.107359,0.031387,0.138746,0.107484,0.031583,0.139067,0.001000
103,0.107426,0.031309,0.138736,0.107502,0.031475,0.138977,0.001000
104,0.107419,0.031298,0.138718,0.107531,0.031188,0.138719,0.001000
105,0.107340,0.031192,0.138532,0.107485,0.031070,0.138554,0.001000
106,0.107271,0.031314,0.138585,0.107453,0.031600,0.139053,0.001000
107,0.107417,0.031472,0.138889,0.107594,0.031965,0.139559,0.001000
108,0.107450,0.031656,0.139106,0.107468,0.031644,0.139112,0.001000
109,0.107395,0.031666,0.139061,0.107468,0.031714,0.139183,0.001000
110,0.107477,0.031451,0.138928,0.107747,0.031888,0.139636,0.001000
111,0.107630,0.031387,0.139017,0.107764,0.031595,0.139359,0.001000
112,0.107575,0.031376,0.138951,0.107747,0.031697,0.139444,0.001000
113,0.107477,0.031468,0.138945,0.107553,0.032254,0.139807,0.001000
114,0.107421,0.031583,0.139004,0.107579,0.031686,0.139264,0.001000
115,0.107448,0.031619,0.139067,0.107675,0.031126,0.138801,0.001000
116,0.107594,0.031615,0.139209,0.108156,0.031773,0.139929,0.001000
117,0.107719,0.031786,0.139505,0.107556,0.032131,0.139687,0.001000
118,0.107498,0.031902,0.139400,0.107584,0.032318,0.139902,0.001000
119,0.107597,0.031841,0.139438,0.107782,0.031786,0.139568,0.001000
120,0.107605,0.031857,0.139462,0.107749,0.031835,0.139584,0.001000
121,0.107513,0.032160,0.139674,0.107490,0.032442,0.139931,0.001000
122,0.107484,0.032237,0.139720,0.107730,0.031828,0.139558,0.001000
123,0.107441,0.032470,0.139911,0.107655,0.032367,0.140022,0.001000
124,0.107338,0.032448,0.139786,0.107321,0.032570,0.139891,0.001000
125,0.107341,0.032366,0.139707,0.107395,0.032750,0.140145,0.001000
126,0.107238,0.032294,0.139532,0.107355,0.032927,0.140282,0.001000
127,0.107321,0.032278,0.139599,0.107518,0.032343,0.139862,0.001000
