34_10,folder,dists<better,psnr,ssim,REL_dists>better,REL_psnr,REL_ssim,,,,,,,,,,,,
mega,test_zeroshotanime_mega_compact_28i_x2,0.0926,33.2698,0.9178,0.06,1.1024,0.0111,,,,,,,,,,,,
ultra,test_zeroshotanime_ultra_compact_28i_x2,0.0854,33.4854,0.9216,0.0672,1.318,0.0149,,,,,,,,,,,,
10_x2,,,,,,,,,,,,,,,,,,,
baseline,test_zeroshotanime_baseline_10_x2,0.1215,34.4701,0.9381,--,--,--,,,,,,,,,,,,
super_pretrain,test_zeroshotanime_super_compact_10_x2_pretrain,0.0722,34.2933,0.9345,0.0493,-0.1768,-0.0036,,,,,,,,,,,,
mega_pretrain,test_zeroshot_anime_mega_compact_10_x2_pretrain,0.194,27.7991,0.7416,-0.0725,-6.671,-0.1965,,,,,,,,,,,,
ultra_pretrain,test_zeroshot_anime_ultra_compact_10_x2_pretrain,0.0385,36.4471,0.9524,0.083,1.977,0.0143,,,,,,,,,,,,
super,test_zeroshotanime_super_compact_10_x2,0.035,36.7776,0.9524,0.0865,2.3075,0.0143,,,,,,,,,,,,
mega,test_zeroshotanime_mega_compact_10_x2,0.0521,37.079,0.9567,0.0694,2.6089,0.0186,,,,,,,,,,,,
ultra,test_zeroshotanime_ultra_compact_10_x2,0.027,37.8584,0.962,0.0945,3.3883,0.0239,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
MOVIE========================================,,,,,,,,,,,,,,,,,,,
34_10,,,,,,,,,,,,,,,,,,,
baseline,,,,,,,,,,,,,,,,,,,
super_pretrain,test_zeroshotmovie_super_compact_34_10_x1_pretrain,0.1147,32.8895,0.8825,-0.1147,32.8895,0.8825,,,,,,,,,,,,
mega_pretrain,test_zeroshotmovie_mega_compact_34_10_x1_pretrain,0.1013,32.543,0.8755,-0.1013,32.543,0.8755,,,,,,,,,,,,
ultra_pretrain,test_zeroshotmovie_ultra_compact_34_10_x1_pretrain,0.1142,32.9247,0.8782,-0.1142,32.9247,0.8782,,,,,,,,,,,,
super,,,,,0,0,0,,,,,,,,,,,,
mega,,,,,0,0,0,,,,,,,,,,,,
ultra,,,,,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
10_x2,,,,,,,,,,,,,,,,,,,
baseline,,,,,,,,,,,,,,,,,,,
